Meeting Times

"None -", "Class ", "Not Applicable ", "NO",_ROOM "06-May-2024", "15-Aug-2024
"Tuesday,Thursday", "01:30PM -02:50PM", "Class ", "Arts Building ", "263", "02-Jul-2024", "15-Aug-2024"
"Monday,Tuesday,Wednesday,Thursday", "01:30PM -04:20PM ", "Class ", "Murray Building (Main Library) ", "291", "02-Jul-2024", "22-Jul-2024"
"Monday,Tuesday,Wednesday,Thursday", "01:30PM -04:20PM ", "Class ", "Murray Building (Main Library) ", "291", "25-Jul-2024", "15-Aug-2024"
"Monday,Tuesday,Wednesday,Thursday", "09:30AM -12:20PM ", "Class ", "Murray Building (Main Library) ", "190", "02-Jul-2024", "22-Jul-2024"
"Monday,Tuesday,Wednesday,Thursday", "09:30AM -12:20PM ", "Class ", "Murray Building (Main Library) ", "190", "25-Jul-2024", "15-Aug-2024"
"Monday,Tuesday,Wednesday,Thursday", "09:30AM -12:20PM ", "Class ", "Research Annex ", "129", "25-Jul-2024", "15-Aug-2024"
"Monday,Tuesday,Wednesday,Thursday", "01:30PM -04:20PM ", "Class ", "Murray Building (Main Library) ", "64", "25-Jul-2024", "15-Aug-2024"
"Monday,Tuesday,Wednesday,Thursday", "09:30AM -12:20PM ", "Class ", "Murray Building (Main Library) ", "182", "02-Jul-2024", "22-Jul-2024"
"Monday,Tuesday,Wednesday,Thursday", "09:30AM -12:20PM ", "Class ", "Murray Building (Main Library) ", "299", "02-Jul-2024", "22-Jul-2024"
"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday", "08:30AM -11:50AM ", "Class ", "Agriculture Building ", "1E80", "15-Jul-2024", "21-Jul-2024Monday,Tuesday,Wednesday,Thursday,Friday", "08:30AM -11:50AM ", "Class Building:Agriculture Building Room:1E80 Start Date:22-Jul-2024End Date:28-Jul-2024None - ", "Class Building:Not Applicable Room:NO_ROOM Start Date:02-Jul-2024End Date:14-Jul-2024None - ", "Class Building:Not Applicable Room:NO_ROOM Start Date:29-Jul-2024End Date:15-Aug-2024"
"Monday,Tuesday,Wednesday,Thursday,Friday", "08:30AM -10:50AM ", "Class ", "Geology Building ", "265", "25-Jul-2024", "15-Aug-2024"
"Monday,Tuesday,Wednesday,Thursday,Friday", "01:30PM -04:20PM ", "Class ", "Education Building ", "1022", "25-Jul-2024", "15-Aug-2024"
"Monday,Tuesday,Wednesday,Thursday,Friday", "08:30AM -10:50AM ", "Class ", "Geology Building ", "261", "02-Jul-2024", "22-Jul-2024"
"Monday,Tuesday,Wednesday,Thursday,Friday", "01:30PM -04:20PM ", "Class ", "Thorvaldson Building ", "G77", "02-Jul-2024", "22-Jul-2024"
"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday - ", "Class "23-Aug-2024", End Date:01-Sep-2024"
"Monday,Tuesday,Wednesday,Thursday,Friday", "08:30AM -10:50AM ", "Class ", "Thorvaldson Building ", "124", "02-Jul-2024", "22-Jul-2024"
"Monday,Tuesday,Wednesday,Thursday,Friday", "12:00PM -02:50PM ", "Class ", "Thorvaldson Building ", "SG50", "02-Jul-2024", "22-Jul-2024"
"Monday,Tuesday,Wednesday,Thursday,Friday", "12:00PM -02:50PM ", "Class ", "Thorvaldson Building ", "SG55", "02-Jul-2024", "22-Jul-2024"
"Monday,Tuesday,Wednesday,Thursday,Friday", "12:00PM -02:50PM ", "Class ", "Thorvaldson Building ", "SG60", "02-Jul-2024", "22-Jul-2024"
"Monday,Tuesday,Wednesday,Thursday,Friday", "12:00PM -02:50PM ", "Class ", "Thorvaldson Building ", "SG65", "02-Jul-2024", "22-Jul-2024"
"Tuesday,Thursday", "10:00AM -11:20AM ", "Class ", "Arts Building ", "263", "02-Jul-2024", "15-Aug-2024"
"Tuesday,Thursday", "10:00AM -12:50PM ", "Class ", "Physics Building ", "165", "02-Jul-2024", "15-Aug-2024"
"Wednesday", "12:00PM -01:20PM ", "Class ", "Thorvaldson Building ", "S311", "02-Jul-2024", "15-Aug-2024
"Tuesday,Thursday", "03:00PM -04:20PM ", "Class ", "Thorvaldson Building ", "S311", "02-Jul-2024", "15-Aug-2024"
"Wednesday", "01:30PM -02:50PM ", "Class ", "Thorvaldson Building ", "S311", "02-Jul-2024", "15-Aug-2024
"Tuesday,Thursday", "04:30PM -05:50PM ", "Class ", "Thorvaldson Building ", "S311", "02-Jul-2024", "15-Aug-2024"
"Wednesday", "03:00PM -04:20PM ", "Class ", "Thorvaldson Building ", "S311", "02-Jul-2024", "15-Aug-2024
"Tuesday,Thursday", "03:00PM -04:20PM ", "Class ", "Thorvaldson Building ", "S320", "02-Jul-2024", "15-Aug-2024"
"Tuesday,Thursday", "10:30AM -11:50AM ", "Class ", "Arts Building ", "146", "02-Jul-2024", "15-Aug-2024"
"Tuesday", "12:00PM -01:20PM ", "Class ", "Thorvaldson Building ", "S320", "02-Jul-2024", "15-Aug-2024
"Tuesday", "01:30PM -02:50PM ", "Class ", "Thorvaldson Building ", "S311", "02-Jul-2024", "15-Aug-2024
"Tuesday", "01:30PM -02:50PM ", "Class ", "Thorvaldson Building ", "S320", "02-Jul-2024", "15-Aug-2024
"Tuesday,Thursday", "08:30AM -11:20AM ", "Class ", "Thorvaldson Building ", "159", "02-Jul-2024", "15-Aug-2024"
"Tuesday,Thursday", "12:00PM -01:20PM ", "Class ", "Thorvaldson Building ", "S311", "02-Jul-2024", "15-Aug-2024"
"Monday,Wednesday", "12:00PM -01:20PM ", "Class ", "Thorvaldson Building ", "S320", "02-Jul-2024", "15-Aug-2024"
"Monday,Wednesday,Friday", "12:30PM -02:20PM ", "Class ", "Arts Building ", "263", "02-Jul-2024", "15-Aug-2024Monday,Wednesday,Friday", "03:30PM -04:20PM ", "Class Building:Arts Building Room:263 Start Date:02-Jul-2024End Date:15-Aug-2024"
